Month,Open,High,Low,Close
June-1994,3820.11,4334.48,3811.26,4086.72,
July-1994,4098.67,4217.21,4047.55,4191.30,
August-1994,4227.60,4588.16,4227.60,4588.16,
September-1994,4573.86,4643.31,4281.00,4281.00,
October-1994,4267.97,4449.70,,4269.86,
November-1994,4293.51,4308.70,3999.01,4124.18,
December-1994,4106.18,4109.09,3806.30,3926.90,
January-1995,3910.16,3943.66,3394.94,3618.54,
February-1995,3636.89,3642.12,,3421.47,
March-1995,3454.97,3548.47,,3260.96,
April-1995,3287.84,3508.61,3133.28,3133.28,
May-1995,3061.88,3351.48,,3351.48,
June-1995,3351.11,3438.98,,3247.36,
July-1995,3217.01,3595.55,,3386.97,
August-1995,3383.29,3462.75,3327.72,3346.76,
September-1995,3345.56,3519.14,3289.40,3493.21,
October-1995,,3611.56,,3423.47,
November-1995,3428.79,3509.26,2891.45,2994.29,
December-1995,3064.38,3149.04,2991.84,3110.49,
January-1996,3114.08,3131.37,2820.26,2931.84,
February-1996,2929.04,3607.27,2929.04,3391.99,
March-1996,3391.08,3435.85,3210.70,3366.61,
April-1996,3376.64,3950.82,3376.64,3826.72,
May-1996,3827.60,3879.55,3578.29,3724.97,
June-1996,3731.96,4131.22,3731.96,3812.52,
July-1996,3798.87,3820.95,3387.39,3536.94,
August-1996,3539.97,3585.15,3276.15,3514.61,
September-1996,3519.42,3586.89,3205.23,3239.48,
October-1996,3249.15,3344.67,2930.93,3163.78,
November-1996,3164.03,3190.82,2847.48,2890.50,
December-1996,2883.88,3127.19,2713.12,3085.20,
January-1997,3096.65,3812.31,3096.65,3382.47,
February-1997,3379.76,3735.89,3316.15,3651.91,
March-1997,3713.74,4029.56,3318.90,3360.89,
April-1997,3339.47,3879.21,3315.36,3841.11,
May-1997,3838.44,3838.44,3652.20,3755.10,
June-1997,3758.39,4272.44,3747.14,4256.09,
July-1997,4263.11,4448.06,4105.28,4305.76,
August-1997,4322.19,4605.41,3851.04,3876.08,
September-1997,3875.26,4112.48,3758.52,3902.03,
October-1997,3885.41,4166.14,3795.66,3803.24,
November-1997,3814.75,3852.24,3388.46,3560.29,
December-1997,3536.07,3711.26,3247.63,3658.98,
January-1998,3658.34,3792.86,3164.66,3224.36,
February-1998,3288.78,3639.84,3261.38,3622.22,
March-1998,3657.57,3999.03,3600.06,3892.75,
